Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH,LOW ,PREV. CLOSE ,ltp,close,vwap,52W H ,52W L ,VOLUME ,No of trades 
07-Jul-25,Monday,July,Q3,2025,EQ,144660.0,144660.0,142200.0,143965.0,143000.0,143135.0,142982.8,148075.0,102124.1,3844.0,2627.0
04-Jul-25,Friday,July,Q3,2025,EQ,145500.0,146000.0,143500.0,144920.0,143850.0,143965.0,144241.6,148075.0,102124.1,4175.0,2969.0
03-Jul-25,Thursday,July,Q3,2025,EQ,145400.0,148075.0,143720.0,145210.0,144230.0,144920.0,146347.5,148075.0,102124.1,7751.0,5371.0
02-Jul-25,Wednesday,July,Q3,2025,EQ,142800.0,145680.0,142800.0,142500.0,145400.0,145210.0,144578.1,147435.0,102124.1,7394.0,5331.0
01-Jul-25,Tuesday,July,Q3,2025,EQ,143000.0,143695.0,141690.0,142360.0,142165.0,142500.0,142606.6,147435.0,102124.1,5748.0,4588.0
30-Jun-25,Monday,June,Q2,2025,EQ,144000.0,145100.0,141695.0,143215.0,142005.0,142360.0,143581.6,147435.0,102124.1,6320.0,4850.0
27-Jun-25,Friday,June,Q2,2025,EQ,142600.0,145700.0,141700.0,142515.0,142830.0,143215.0,143508.1,147435.0,102124.1,20472.0,11432.0
26-Jun-25,Thursday,June,Q2,2025,EQ,139305.0,143000.0,138625.0,139255.0,142065.0,142515.0,141275.1,147435.0,102124.1,11171.0,7535.0
25-Jun-25,Wednesday,June,Q2,2025,EQ,136910.0,139595.0,136600.0,136610.0,138200.0,139255.0,138141.2,147435.0,102124.1,5814.0,4326.0
24-Jun-25,Tuesday,June,Q2,2025,EQ,136500.0,137125.0,135830.0,135555.0,136010.0,136610.0,136455.1,147435.0,102124.1,4694.0,3588.0
23-Jun-25,Monday,June,Q2,2025,EQ,134430.0,135995.0,134400.0,134430.0,135400.0,135555.0,135281.3,147435.0,102124.1,3479.0,2616.0
20-Jun-25,Friday,June,Q2,2025,EQ,138510.0,138875.0,132740.0,138180.0,134500.0,134430.0,134840.2,147435.0,102124.1,24690.0,15645.0
19-Jun-25,Thursday,June,Q2,2025,EQ,137750.0,138650.0,137060.0,137950.0,137620.0,138180.0,138209.9,147435.0,102124.1,3680.0,2119.0
18-Jun-25,Wednesday,June,Q2,2025,EQ,136100.0,138500.0,136100.0,136350.0,137620.0,137950.0,137410.7,147435.0,102124.1,4151.0,2993.0
17-Jun-25,Tuesday,June,Q2,2025,EQ,136300.0,137030.0,136005.0,136145.0,136080.0,136350.0,136401.2,147435.0,102124.1,2551.0,1875.0
16-Jun-25,Monday,June,Q2,2025,EQ,136800.0,137445.0,135900.0,137620.0,136120.0,136145.0,136587.4,147435.0,102124.1,4147.0,3090.0
13-Jun-25,Friday,June,Q2,2025,EQ,135795.0,138000.0,135000.0,136385.0,137105.0,137620.0,136518.8,147435.0,102124.1,5875.0,4625.0
12-Jun-25,Thursday,June,Q2,2025,EQ,137430.0,137770.0,135500.0,136880.0,135925.0,136385.0,136417.1,147435.0,102124.1,8399.0,4354.0
11-Jun-25,Wednesday,June,Q2,2025,EQ,138000.0,139450.0,136500.0,137850.0,137045.0,136880.0,137858.0,147435.0,102124.1,5607.0,4311.0
10-Jun-25,Tuesday,June,Q2,2025,EQ,139400.0,139400.0,136555.0,138595.0,137460.0,137850.0,137457.1,147435.0,102124.1,9402.0,6770.0
09-Jun-25,Monday,June,Q2,2025,EQ,139540.0,141335.0,138210.0,139530.0,138530.0,138595.0,139550.5,147435.0,102124.1,6140.0,4580.0
06-Jun-25,Friday,June,Q2,2025,EQ,140700.0,140700.0,138185.0,140360.0,139760.0,139530.0,139266.9,147435.0,102124.1,6901.0,5111.0
05-Jun-25,Thursday,June,Q2,2025,EQ,136800.0,140900.0,136535.0,136105.0,139915.0,140360.0,139297.2,147435.0,102124.1,15753.0,7974.0
04-Jun-25,Wednesday,June,Q2,2025,EQ,138770.0,139000.0,135800.0,138080.0,135855.0,136105.0,136767.2,147435.0,102124.1,10461.0,7917.0
03-Jun-25,Tuesday,June,Q2,2025,EQ,140760.0,141900.0,137450.0,140750.0,138100.0,138080.0,138569.1,147435.0,102124.1,12154.0,9383.0
02-Jun-25,Monday,June,Q2,2025,EQ,138400.0,141400.0,137010.0,138865.0,140115.0,140750.0,139340.9,147435.0,102124.1,13350.0,9608.0
30-May-25,Friday,May,Q2,2025,EQ,141690.0,141845.0,137165.0,140905.0,138700.0,138865.0,139310.0,147435.0,102124.1,13777.0,7533.0
29-May-25,Thursday,May,Q2,2025,EQ,143100.0,144430.0,140015.0,142785.0,140715.0,140905.0,141867.8,147435.0,102124.1,14872.0,10210.0
28-May-25,Wednesday,May,Q2,2025,EQ,144800.0,144800.0,141555.0,143985.0,142800.0,142785.0,142637.0,147435.0,102124.1,14908.0,10160.0
27-May-25,Tuesday,May,Q2,2025,EQ,146625.0,146795.0,143620.0,146625.0,144350.0,143985.0,144719.9,147435.0,102124.1,9952.0,7365.0
26-May-25,Monday,May,Q2,2025,EQ,144000.0,147435.0,143705.0,143670.0,146150.0,146625.0,146137.8,147435.0,102124.1,15301.0,10410.0
23-May-25,Friday,May,Q2,2025,EQ,142250.0,143955.0,141830.0,142345.0,143825.0,143670.0,143422.2,143955.0,102124.1,5635.0,3865.0
22-May-25,Thursday,May,Q2,2025,EQ,142400.0,143140.0,141500.0,142285.0,142395.0,142345.0,142284.8,143849.9,102124.1,5201.0,3670.0
21-May-25,Wednesday,May,Q2,2025,EQ,140800.0,142500.0,140500.0,140240.0,142400.0,142285.0,141853.4,143849.9,102124.1,7110.0,4837.0
20-May-25,Tuesday,May,Q2,2025,EQ,140100.0,141150.0,139485.0,140145.0,140420.0,140240.0,140433.2,143849.9,102124.1,8983.0,5292.0
19-May-25,Monday,May,Q2,2025,EQ,139410.0,140655.0,139410.0,140265.0,140000.0,140145.0,139998.4,143849.9,102124.1,6621.0,4677.0
16-May-25,Friday,May,Q2,2025,EQ,141765.0,142460.0,140000.0,141140.0,140145.0,140265.0,140867.5,143849.9,102124.1,9730.0,4922.0
15-May-25,Thursday,May,Q2,2025,EQ,141500.0,141875.0,140865.0,141070.0,141075.0,141140.0,141351.0,143849.9,102124.1,5969.0,4387.0
14-May-25,Wednesday,May,Q2,2025,EQ,140425.0,141380.0,140425.0,140425.0,141080.0,141070.0,140898.1,143849.9,102124.1,6640.0,4610.0
13-May-25,Tuesday,May,Q2,2025,EQ,140100.0,141070.0,139000.0,139925.0,140550.0,140425.0,140134.8,143849.9,102124.1,6054.0,4729.0
12-May-25,Monday,May,Q2,2025,EQ,140400.0,141095.0,139570.0,137675.0,140000.0,139925.0,140041.7,143849.9,102124.1,5916.0,4687.0
09-May-25,Friday,May,Q2,2025,EQ,137415.0,138295.0,135600.0,138760.0,137620.0,137675.0,137064.7,143849.9,102124.1,9582.0,7753.0
08-May-25,Thursday,May,Q2,2025,EQ,140750.0,143275.0,138350.0,140420.0,138355.0,138760.0,140695.4,143849.9,102124.1,15480.0,11957.0
07-May-25,Wednesday,May,Q2,2025,EQ,131500.0,141500.0,131500.0,134990.0,140610.0,140420.0,139042.1,143849.9,102124.1,27052.0,19377.0
06-May-25,Tuesday,May,Q2,2025,EQ,136800.0,137270.0,134500.0,136120.0,134500.0,134990.0,135557.5,143849.9,102124.1,5771.0,4541.0
05-May-25,Monday,May,Q2,2025,EQ,135310.0,137845.0,135310.0,135200.0,136460.0,136120.0,136712.3,143849.9,102124.1,7072.0,5135.0
02-May-25,Friday,May,Q2,2025,EQ,134800.0,135740.0,133900.0,134505.0,134940.0,135200.0,134924.9,143849.9,102124.1,8417.0,6690.0
30-Apr-25,Wednesday,April,Q2,2025,EQ,132950.0,135600.0,132000.0,132805.0,134200.0,134505.0,134077.5,143849.9,102124.1,11000.0,7612.0
29-Apr-25,Tuesday,April,Q2,2025,EQ,130750.0,133200.0,130700.0,130225.0,132610.0,132805.0,132431.5,143849.9,102124.1,7993.0,6220.0
28-Apr-25,Monday,April,Q2,2025,EQ,128500.0,130375.0,128495.0,128655.0,130330.0,130225.0,129656.2,143849.9,102124.1,4740.0,3623.0
25-Apr-25,Friday,April,Q2,2025,EQ,130500.0,130700.0,127400.0,129920.0,128500.0,128655.0,128938.1,143849.9,102124.1,7468.0,5997.0
24-Apr-25,Thursday,April,Q2,2025,EQ,128000.0,130470.0,127555.0,127980.0,130100.0,129920.0,129121.1,143849.9,102124.1,11841.0,7705.0
23-Apr-25,Wednesday,April,Q2,2025,EQ,129380.0,129380.0,126650.0,127655.0,127770.0,127980.0,127704.9,143849.9,102124.1,6770.0,4826.0
22-Apr-25,Tuesday,April,Q2,2025,EQ,127200.0,129115.0,126300.0,126800.0,127755.0,127655.0,127878.2,143849.9,102124.1,9283.0,6715.0
21-Apr-25,Monday,April,Q2,2025,EQ,127475.0,128000.0,126495.0,126475.0,126900.0,126800.0,126878.1,143849.9,102124.1,6676.0,4514.0
17-Apr-25,Thursday,April,Q2,2025,EQ,124100.0,126860.0,123990.0,124490.0,126570.0,126475.0,126125.7,143849.9,102124.1,15654.0,8933.0
16-Apr-25,Wednesday,April,Q2,2025,EQ,122950.0,124775.0,122885.0,122905.0,124665.0,124490.0,123641.8,143849.9,102124.1,10139.0,6060.0
15-Apr-25,Tuesday,April,Q2,2025,EQ,119900.0,123010.0,118200.0,117544.4,122625.0,122905.0,120886.5,143849.9,102124.1,14655.0,6835.0
11-Apr-25,Friday,April,Q2,2025,EQ,113300.0,118750.0,113300.0,113113.3,117490.0,117544.4,116677.2,143849.9,102124.1,17890.0,10736.0
09-Apr-25,Wednesday,April,Q2,2025,EQ,112697.0,113397.4,111300.2,112592.4,112853.1,113113.3,112565.2,143849.9,102124.1,4967.0,3489.0
08-Apr-25,Tuesday,April,Q2,2025,EQ,112000.0,113508.8,111510.1,110385.5,112697.0,112592.4,112428.3,143849.9,102124.1,4965.0,3722.0
07-Apr-25,Monday,April,Q2,2025,EQ,110000.0,110821.5,108001.0,113237.0,110666.0,110385.5,109833.2,143849.9,102124.1,7098.0,5043.0
